APREC,AREA_MI
MISSION,36.68
DEVONSHIRE,70.59
FOOTHILL,67.98
TOPANGA,47.56
WEST VALLEY,48.97
N HOLLYWOOD,33.18
VAN NUYS,25.61
NORTHEAST,42.59
HOLLYWOOD,19.42
WEST LA,94.12
HOLLENBECK,22.59
RAMPART,8.05
WILSHIRE,17.06
OLYMPIC,9.10
SOUTHWEST,17.89
NEWTON,14.19
PACIFIC,37.35
77TH STREET,16.45
SOUTHEAST,13.58
HARBOR,46.24
CENTRAL,7.13
